filename,folder,type,width,height,bytes
"27-Apr 24 2025 01_27pm-HjX6.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1082294
"32-May 09 2025 09_47am-8UTq.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,804196
"9-Apr 24 2025 10_58am-wYkR.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,597071
"28-Apr 24 2025 01_27pm-usen.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1093577
"4-Apr 24 2025 10_50am-8EVC.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1440,1920,712820
"30-Apr 24 2025 01_27pm-327F.jpg","Cardinal/2025/Commercial Polyurethane Injection",jpg,1920,1440,1214263
"1-Aug 01 2025 10_44am-Kt7k.jpg","Cardinal/2025/4909 Haverwood - Multifamily Hybrid Piers",jpg,1920,1440,780772
"3-Aug 01 2025 10_44am-Tznq.jpg","Cardinal/2025/4909 Haverwood - Multifamily Hybrid Piers",jpg,1440,1920,792525
"2-Mar 18 2025 10_34am-Xpnz.jpg","Cardinal/2025/4001 N Belt Line Rd",jpg,2882,2162,1976895
"2-Mar 18 2025 10_34am-hxHp.jpg","Cardinal/2025/4001 N Belt Line Rd",jpg,2882,2162,1976895
"4-Mar 20 2025 11_21am-xUnY.jpg","Cardinal/2025/4001 N Belt Line Rd",jpg,2160,2880,1279044
"1-Mar 18 2025 10_34am-Dx5F.jpg","Cardinal/2025/4001 N Belt Line Rd",jpg,2882,2162,1983840
"1-Mar 18 2025 10_34am-UoZ3.jpg","Cardinal/2025/4001 N Belt Line Rd",jpg,2882,2162,1983840
"Multifamily Lowering-Mar 27 2025 11_22PM-10499394.mp4","Cardinal/2025/4001 N Belt Line Rd",mp4,1080,1920,117827881
"4-Jul 07 2025 05_08pm-4oHN.jpg","Cardinal/2025/605 Roy Ln Keller",jpg,2160,2880,1580191
"1-Jun 20 2025 05_53pm-yua7.jpg","Cardinal/2025/605 Roy Ln Keller",jpg,2160,2880,1966409
"8-Jul 11 2025 05_54pm-kXgv.jpg","Cardinal/2025/605 Roy Ln Keller",jpg,2160,2880,1504260
"5-Jul 07 2025 05_08pm-vDAr.jpg","Cardinal/2025/605 Roy Ln Keller",jpg,2882,2162,1023803
"3-Apr 07 2025 12_36pm-QQ3B.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,856824
"79-Apr 22 2025 09_03am-3yon.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,819039
"95-Apr 22 2025 09_22am-6o2T.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1440,1920,579968
"41-Apr 07 2025 12_57pm-VNcu.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1920,1440,793114
"66-Apr 17 2025 06_29pm-L8u3.jpg","Cardinal/2025/3407 Shady Hill Dr - Baytown Multifamily",jpg,1536,2040,609972
